BCHEM 577 | Agricultural Biotechnology I | AY Tetteh = MSc Biotech(3)
MSTAT 693 | Topics in Operation Research | N/A = MPhil MS(6)
BCHEM 555 | Molecular Biology Techniques I | PS Salifu = MPhil Biochem(7)
MATH 511 | Integral Equations I | W Obeng-Denteh = MPhil AM(9)
BIOL 511 | Environmental Policy Analysis | P Antwi-Agyei = MPhil ES(8)
FTECH 553 | Food Safety & Toxicology | IW Ofosu = MSc/MPhil FST(4)
PHY 351 | Quantum Mechanics I | I Nkrumah = P3(84),MET3(32)
ENVS 457 | Environmental Toxicology | BWL Lawson = ES4(81)
CHEM 455 | Molecular Spectroscopy & Photochemistry | JAM Awudza  = C4(94)
BCHEM 259 | Physical Chemistry I | R Tia = BC2(135)
BCHEM 461 | Plant Tissue Culture Methodology | A Tetteh = BC4(0)
ACTS 361 | Stochastic Processes I | YE Ayekple = AS3(90)
STAT 369 | Stochastic Processes I | YE Ayekple = ST3(214)
MATH 375 | Numerical Methods & Computations II | PA Yirenkyi = M3(94)
CSM 399 | Web-based Concepts & Development | EO Oppong = CS3 Regular(139),CS3 Parallel(31)
CHEM 369 | Practical Chemistry V | NK Asare-Donkor = C3(195)
FTECH 487 | Food Product Development | FD Wireko-Manu/JK Agbenorhevi = FST4(47)
FTECH 381 | Research Design & Implementation | I Oduro/WO Ellis = FST3(87)
PHY 261 | Programming with C++ I | A Britwum = P2(152)
OPT 455 | Public Health | DB Kumah = OD4(25)
MET 457 | Climate Change: Science, Policy and Management | E Quansah = MET4(29)
MET 253 | Programming with Fortran I | LK Amekudzi = MET2(51)
CHEM 251 | Main Group & Introduction to Transition Metal Chemistry | SE Agorku = C2(266)
MATH 153 | Statistical Methods I | C Abaitey = OD2(85),FST2(52) || S Twumasi-Ankrah = BC3(158) || E Harris = B3(319)
