BCHEM 485 | Experimental Design & Statistical Computing | RK Avuglah = ES4(81)
BCHEM 455 | Molecular Biology and Biotechnology | P Twumasi = BC4(125)
FTECH 489 | Quality Assurance & Legislation | HE Lutterodt/LDK De Souza = FST4(47)
CHEM 453 | Physiologically Active Compounds | A Acheampong = C4(94)
CSM 483 | Operating Systems | ED Ansong = CS4 Regular(104),CS4 Parallel(12)
MATH 465 | Optimization I | JA Ackora-Prah = M4(80)
STAT 467 | Design & Analysis of Experiments | RK Avuglah = ST4(74)
BIOL 159 | Principles of Systematics | P Addo-Fordjour = B1(318)
OPT 603 | Health Care Law and Ethics | LO Adjare = OD6(39)
* STAT 559 | Statistical Methods for Research | RK Avuglah = All Classes
MATH 503 | Computer Solution to Scientific Problems I | KF Darkwah = MPhil PM/AM(32)
PHY 553 | Topics in Classical and Quantum Mechanics | EKK Abavare = MPhil SS(3)
PHY 563 | Analytical and Quantitative Methods in Material | F Boakye = MPhil MS(3)
PHY 573 | Seismic Theory & Data Acquisition | SK Danuor = MPhil Geo(2)
MSTAT 585 | Econometrics | S Twumasi-Ankrah = MPhil MS(16)
CSM 553 | Software Design and Architecture | N Ussiph = MPhil CS(8)
MIT 551 | Developmental Enterprise Systems | F Twum = MIT(16)
MET 545 | Atmospheric Physics | LK Amekudzi = MPhil Meteo(0)
* PST 513 | Research Methods I | AA Adimado = All Classes(5)
ACTS 467 | Mathematical Models in Finance | YE Ayekple = AS4(122)
BIOL 355 | Entomology I | JI Adam = B3(319)
MATH 361 | Complex Analysis | RK Boadi = M3(94)
FTECH 379 | Food Packaging | GM Ankar-Brewoo/LDK De Souza = FST3(87)
PHY 263 | Nuclear Physics | S Aggrey-Smith = P2(166)
CHEM 353 | Organic Synthesis & Spectroscopy | S Osafo-Acquaah = C3(195)
BIOL 507 | Systems and Computer Modelling | IK Dontwi = MPhil ES(8)
CSM 183 | Introduction to Computers | KA Pabbi = BC2(135) || N Ussiph = FST1(140) || ED Ansong = B2(254) || KO Peasah = OD1(82) || F Twum = C1(203) || EO Oppong = P1(87),MET1(76) || F Twum = ES1(188)
MATH 171 | Calculus I | GA Okyere = M1(160),AS1(89) ||  W Obeng-Denteh = ST1(216)
CSM 353 | Survey of Programming Languages | JK Panford = CS3 Regular(139), CS3 Parallel(31)
PHY 477 | Electrical & Electromagnetic Propecting Methods | AA Aning = P4(10)
PHY 483 | Non-Ferrous Metals and Alloys | A Britwum = P4(10)
PHY 465 | Biophysics I | S Aggrey-Smith = P4(37)
PHY 467 | Microprocessors | MKE Donkor = P4(22)
ECON 151 | Elements of Economics | JB Dramani = C3(100),CS1(221),M2(120),AS1(89),ST1(216),P2(82)
CHEM 375 | Chemistry and Society | MA Nkansah = C3(20)
CSM 285 | Accounting I | B Osei = CS3 Regular(139), CS3 Parallel(31)
MATH 365 | Differential Equations II | PA Yirenkyi = M3(94),ST3(214)
ACTS 371 | Application Development for Actuarial Science | EDJ Owusu Ansah = AS3(90)
ENVS 355 | Environment & Health | LA Ofori = ES3(120)
CHEM 153 | Basic Organic Chemistry I | JK Mensah = C1(203) || A Acheampong = BC1(246)
ACTS 563 | Risk Theory | NK Frempong = MPhil AS(7)
OPT 507 | Ambiyopia & Strabismus | AO Amedo = OD5(37)
MATH 463 | Integral Equations | IK Dontwi = M4(104)
BCHEM 581 | Biosafety and Bioethics | C Larbie = MPhil Biochem(4), MSc Biotech(4)
PHY 551 | Advanced Mathematical Methods for Physics | N/A = MPhil SS/MS/NP(6)
FC 181 | French for Communication I | E Oteng Preko = B2(165),FST2(46),BC2(135),P1(87),MET1(76) || M Nartey = ES1(188),OD4(25) || SM Yegblemanawo = C2(266),M2(70) || D Pimpong = C2(266) || B Ampong = P1(87),MET1(76)
FC 281 | French for Communication III | B Ampong = P2(70),MET2(51)
ACTS 471 | Insurance Law | EN Amasah = AS4(122)
BCHEM 353 | Metabolism in Health & Diseases I | FO Mensah/P Brown = BC3(158)
CHEM 451 | Group Theory & Inorganic Spectroscopy | NK Asare-Donkor = C4(94)
OPT 353 | Physiological Optics I | AS Ahmed = OD3(43)
FTECH 375 | Postharvest Technology | I Oduro/FD Wireko-Manu = FST3(87)
OPT 609 | Principles of Health Care Administration | LO Adjare = OD6(39)
MET 553 | Atmospheric Chemistry | B Kwakye-Awuah = MPhil Meteo(0)
SOC 151 | Introduction to Sociology | H Takyi = OD2(85) || KV De Paul = B2(61)
PST 509 | Introduction to Nano Science and Technology | NO Boadi = MPhil PST(1)
FTECH 581 | Food Fermentation | J Adubofuor/F Alemawor = MSc FST(9)
MIT 559 | Management Information Systems | KA Pabbi = MIT(16)
FTECH 563 | Fats and Oil Processing | IW Ofosu = MPhil FST(2)
BIOL 351 | Chordate Development & Evolution I | S Akyeampong = B3(318)
CSM 291 | Systems Analysis & Design I | MY Missah = CS2 Regular(190),CS2 Parallel(54)
CSM 481 | Information Systems I | KA Pabbi = CS4 Regular(104), CS4 Parallel(12)
FTECH 267 | Food Service Operations and Management | GM Ankar-Brewoo = FST2(4)
MGT 471 | Principles of Management I | K Obiri-Yeboah = OD3(43),B3(319),ES3(120) || K Boateng = BC4(125) || K Poku = FST4(47) || Kofi Poku = C4(60) || Kwasi Poku = CS4 Regular(104),CS4 Parallel(12) || PK Oppong-Boakye = M4(35),AS4(10),ST4(8) || K Owusu Kwarteng = P4(69),MET4(29)
MATH 275 | Linear Algebra II | K Baah-Gyamfi = M2(191),AS2(154),ST2(302)
GEOG 151 | Introduction to Physical Environmental Systems | EK Garsonu = ES1(188)
CSM 151 | Information Technology | G Abdul-Salaam/D Asamoah = CS1(221)
BCHEM 153 | General Biochemistry | FO Mensah/C Apprey = BC1(246)
OPT 153 | Geometrical & Physical Optics I | F Boakye = OD1(82)
FTECH 561 | Cereals and Legumes | JO Darko/HE Lutterodt = MPhil FST(4)
BIOL 503 | Environmental Microbiology | RC Abaidoo = MPhil ES(8)
MSTAT 571 | Probability Theory | GA Okyere = MPhil MS(16)
MATH 521 | Abstract Algebra | K Baah-Gyamfi = Mphil PM(6)
BCHEM 253 | Metabolism in Health & Diseases I | CK Firempong = FST2(52) || C Larbie = BC2(135)
OPT 515 | Low Vision I | TM Pascal = OD5(37)
BIOL 257 | Plant Growth & Development  | AK Apetorgbor = B2(254)
OPT 251 | Ocular Anatomy & Physiology | AO Amedo = OD2(85)
CHEM 255 | Chemical Kinetics & State of Matter | E Adei = C2(266)
ENVS 255 | Chemical and Biological Oceanography | O Akoto/S Aikins = ES2(255)
FTECH 377 | Principles of Sensory Evaluation | JK Agbenorhevi/FD Wireko-Manu = FST3(87)
MATH 371 | Classical Fields I | FT Oduro = M3(94)
CSM 357 | Human Computer Interaction | N Ussiph = CS3 Regular(139),CS3 Parallel(31)
PHY 389 | Material Science Laboratory | AO Nunoo = P3(7)
BIOL 459 | Human Reproductive & Neuroendocrine Functions | JI Adam = B4(159)
MATH 467 | Introduction to Special Relativity | KF Darkwah = M4(30)
ACTS 261 | Mathematics of Finance | VK Dedu = AS2(154)
STAT 477 | Mathematics of Finance | VK Dedu = ST4(10)
ACTS 465 | Asset-Liability Management | RK Avuglah/C Abaitey = AS4(105)
OPT 461 | Dispensing Optics III | AK Mohammed = OD4(25)
*PHY 547 | Numerical Methods & Statistics | E Owusu-Ansah = All Classes(11)
MATH 505 | Advanced Numerical Methods I | E Owusu-Ansah = MPhil AM(7)
